Tipologia_Luogo,Nome_Descrizione,Dettagli_Struttura,Prezzo_Totale,Paga_Zero_Oggi,Cancellazione_Gratuita,URL_Annuncio
Appartamento ⋅ Venezia,3 Minuti da piazza San Marco con Terrazza A/C WiFi,"3 Minuti da piazza San Marco con Terrazza A/C WiFi | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",2931 € in totale Mostra il dettaglio dei prezzi  2931 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1084621239372555264
Appartamento ⋅ Venezia,Appartamento vicino al Teatro Biennale di Ca-Sa Check,"Appartamento vicino al Teatro Biennale di Ca-Sa Check | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",2252 € in totale Mostra il dettaglio dei prezzi  2252 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1214408000128237176
Appartamento ⋅ Venezia,Ca' Nova Loft @ San Marco,"Ca' Nova Loft @ San Marco | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",2529 € in totale Mostra il dettaglio dei prezzi  2529 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/632583363073735214
Appartamento ⋅ Lido di Venezia,"Venezia e Mare, Lido di Venezia","Venezia e Mare, Lido di Venezia | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",8980 € in totale Mostra il dettaglio dei prezzi  8980 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1602054115552664464
Alloggio (Venezia),Camera blu Ca' Vecchio Forno,"Camera blu Ca' Vecchio Forno | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",1987 € in totale Mostra il dettaglio dei prezzi  1987 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/52416887
Appartamento ⋅ Venezia,Ca' Emma alla Biennale - your home in Venice,"Ca' Emma alla Biennale - your home in Venice | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3375 € in totale Mostra il dettaglio dei prezzi  3375 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/53670356
Appartamento ⋅ Lido di Venezia,Casa incantevole al Lido Venice Beach,"Casa incantevole al Lido Venice Beach | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",13.620 € 12.270 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/934511716348321242
Appartamento ⋅ Venezia,Calle dei Preti,"Calle dei Preti | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3394 € in totale Mostra il dettaglio dei prezzi  3394 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/45589908
Appartamento ⋅ Venezia,Appartamento Bella Vista,"Appartamento Bella Vista | 1 camera da letto
1 camera da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",4580 € 3419 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/582386687359485560
Appartamento ⋅ Venezia,Giardino di San Lorenzo,"Giardino di San Lorenzo | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",4455 € in totale Mostra il dettaglio dei prezzi  4455 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/17104230
Appartamento ⋅ Lido di Venezia,Appartamento nel cuore del Lido con grande terrazza,"Appartamento nel cuore del Lido con grande terrazza | 3 camere da letto
3 camere da letto
4 letti
,
 · 4 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",6753 € in totale Mostra il dettaglio dei prezzi  6753 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/938978623479288210
Appartamento ⋅ Venezia,"Coppie benvenute, casa moderna a 5 min Biennale","Coppie benvenute, casa moderna a 5 min Biennale | 1 camera da letto
1 camera da letto
1 letto matrimoniale grande
,
 · 1 letto matrimoniale grande
1 bagno
,
 · 1 bagno | Host privato
Host privato",4352 € 3924 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/37980243
B&B a Venezia,Locanda Ca' Valeri,"Locanda Ca' Valeri | 2 camere disponibili
2 camere disponibili",2335 €  2102 € 2102 € in totale. Prezzo originario: 2335 €  in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1552109099784204953
Appartamento ⋅ Lido di Venezia,Casa 7 Lido Venice Beach,"Casa 7 Lido Venice Beach | 2 camere da letto
2 camere da letto
6 letti
,
 · 6 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",17.395 € 15.665 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/934504084808776735
Appartamento ⋅ Venezia,"La Casetta di Foscolo by Venicevillas, Biennale","La Casetta di Foscolo by Venicevillas, Biennale | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",2710 € in totale Mostra il dettaglio dei prezzi  2710 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51811518
Lido di Venezia: stanza,Mostra del cinema di venezia,"Mostra del cinema di venezia | 2 letti
2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3761 € in totale Mostra il dettaglio dei prezzi  3761 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/686297002562728779
Appartamento ⋅ Venezia,Castello 5067 Boutique Apartment vicino a Piazza San Marco,"Castello 5067 Boutique Apartment vicino a Piazza San Marco | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3985 € 3395 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/33905388
Appartamento ⋅ Venezia,"Ca Lion di Venicevillas, Biennale","Ca Lion di Venicevillas, Biennale | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3777 € in totale Mostra il dettaglio dei prezzi  3777 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51614407
Appartamento ⋅ Castello,Gallery House @Venezia,"Gallery House @Venezia | 3 camere da letto
3 camere da letto
3 letti
,
 · 3 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",5404 € 4354 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/54052670
Casa ⋅ Castello,Antica Dimora Veneziana con Pergolato,"Antica Dimora Veneziana con Pergolato | 2 camere da letto
2 camere da letto
4 letti
,
 · 4 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",4003 € in totale Mostra il dettaglio dei prezzi  4003 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1178838844705171456
Castello: stanza,Camera privata a Castello tra Biennale & San Marco,"Camera privata a Castello tra Biennale & San Marco | 1 letto a 2 piazze
1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",2373 € in totale Mostra il dettaglio dei prezzi  2373 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/17553690
Appartamento ⋅ Castello,Suite Biennale Gallery,"Suite Biennale Gallery | 1 camera da letto
1 camera da letto
1 letto matrimoniale
,
 · 1 letto matrimoniale
1 bagno
,
 · 1 bagno | Host privato
Host privato",4210 € 3795 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51118138
Alloggio (Castello),Suite romantica a due passi da San Marco,"Suite romantica a due passi da San Marco | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",2843 € in totale Mostra il dettaglio dei prezzi  2843 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1697934656716644063
Castello: stanza,Casa Stainer Camera bagno esterno esclusivo,"Casa Stainer Camera bagno esterno esclusivo | 1 letto a 2 piazze
1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",1847 € in totale Mostra il dettaglio dei prezzi  1847 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/32077336
Appartamento ⋅ Castello,Riva Home Gallery - Terrazza privata e ascensore,"Riva Home Gallery - Terrazza privata e ascensore | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",7093 € in totale Mostra il dettaglio dei prezzi  7093 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1415363904072167743
Appartamento ⋅ Castello,Appartamento Biennale Venezia,"Appartamento Biennale Venezia | 2 camere da letto
2 camere da letto
6 letti
,
 · 6 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3840 € in totale Mostra il dettaglio dei prezzi  3840 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51600586
Appartamento ⋅ Castello,CasaLuce - Luminoso appartamento a San Marco,"CasaLuce - Luminoso appartamento a San Marco | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",4622 € in totale Mostra il dettaglio dei prezzi  4622 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1297668926728482984
Appartamento ⋅ Castello,Residenza Anna Azzurra,"Residenza Anna Azzurra | 2 camere da letto
2 camere da letto
2 letti a 2 piazze
,
 · 2 letti a 2 piazze
2 bagni
,
 · 2 bagni | Host privato
Host privato",3673 € 3355 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1619033841364034491
Appartamento ⋅ Castello,Attico Bragora Smoochy Venezia,"Attico Bragora Smoochy Venezia | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",2869 € in totale Mostra il dettaglio dei prezzi  2869 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/19262607
Appartamento ⋅ Castello,casa a Venezia sul canale tra il verde.,"casa a Venezia sul canale tra il verde. | 3 camere da letto
3 camere da letto
3 letti a 2 piazze
,
 · 3 letti a 2 piazze
2 bagni
,
 · 2 bagni | Host privato
Host privato",4164 € in totale Mostra il dettaglio dei prezzi  4164 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/23635043
Appartamento ⋅ Castello,Romantico loft,"Romantico loft | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",1878 € in totale Mostra il dettaglio dei prezzi  1878 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1613820178587337673
Appartamento ⋅ Castello,Ca' di Malta Camera 1 di Wonderful Italy,"Ca' di Malta Camera 1 di Wonderful Italy | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",2370 € in totale Mostra il dettaglio dei prezzi  2370 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1214247555915047593
Casa vacanze ⋅ Castello,Vista dall'alto dell'appartamento Ducale,"Vista dall'alto dell'appartamento Ducale | 1 camera da letto
1 camera da letto
1 letto matrimoniale
,
 · 1 letto matrimoniale
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4022 € 3487 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/18468430
Appartamento ⋅ Castello,Residenza Rossella,"Residenza Rossella | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",4015 € in totale Mostra il dettaglio dei prezzi  4015 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1237758784945891465
Castello: stanza,Biennale Ensuite Room 2 di Bricola Apartments,"Biennale Ensuite Room 2 di Bricola Apartments | 1 letto a 2 piazze
1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",2041 € in totale Mostra il dettaglio dei prezzi  2041 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1498455382684307511
Appartamento ⋅ Castello,Cà Donà accogliente in centro storico di Venezia,"Cà Donà accogliente in centro storico di Venezia | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3229 € in totale Mostra il dettaglio dei prezzi  3229 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1519099528659826310
Casa vacanze ⋅ Venezia,Fuga a Venezia-San Giorgio,"Fuga a Venezia-San Giorgio | 1 camera da letto
1 camera da letto
1 letto matrimoniale
,
 · 1 letto matrimoniale
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3550 € 3027 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/7624650
Appartamento ⋅ Venezia,"Casa Dolce Riva: affascinante, autentica e tranquilla, 2 bagni","Casa Dolce Riva: affascinante, autentica e tranquilla, 2 bagni | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",3862 € in totale Mostra il dettaglio dei prezzi  3862 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1415229937655660204
B&B a Venezia,B&B di Alfonso,"B&B di Alfonso | 2 camere disponibili
2 camere disponibili",2247 €  2019 € 2019 € in totale. Prezzo originario: 2247 €  in totale,No,No,https://www.airbnb.it/rooms/1295650
Appartamento ⋅ Venezia,Ca' del Papa - Riva Gold Apartment,"Ca' del Papa - Riva Gold Apartment | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3466 € 3166 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1609457874045175465
Appartamento ⋅ Lido di Venezia,Mary Rose Guest House (Casa di Maria Rosa) Venezia,"Mary Rose Guest House (Casa di Maria Rosa) Venezia | 3 camere da letto
3 camere da letto
7 letti
,
 · 7 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",17.675 € in totale Mostra il dettaglio dei prezzi  17.675 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1075299871768616102
Appartamento ⋅ Lido di Venezia,Appartamenti Ca' Barbarigo,"Appartamenti Ca' Barbarigo | 3 camere da letto
3 camere da letto
2 letti
,
 · 2 letti
3 bagni
,
 · 3 bagni | Host privato
Host privato",46.318 € 42.318 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1360322103669864742
Appartamento ⋅ Venezia,"Lio Piccolo, San Marco -Arsenale","Lio Piccolo, San Marco -Arsenale | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",2697 € in totale Mostra il dettaglio dei prezzi  2697 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/817196070864448954
Appartamento ⋅ Venezia,Ramo delle Moschette,"Ramo delle Moschette | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4031 € 3685 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/17074337
Appartamento ⋅ Venezia,"Ca' Elisabetta, suite","Ca' Elisabetta, suite | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3298 € 3016 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1450551755916458370
Appartamento ⋅ Venezia,Ca' di Malta Camera 2 di Wonderful Italy,"Ca' di Malta Camera 2 di Wonderful Italy | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",2380 € in totale Mostra il dettaglio dei prezzi  2380 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1214247863493026146
Appartamento ⋅ Venezia,Casa al Ponte Scudi - 4 finestre sul canale,"Casa al Ponte Scudi - 4 finestre sul canale | 1 camera da letto
1 camera da letto
3 letti
,
 · 3 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",4610 € 4158 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/54238272
Appartamento ⋅ Venezia,Cà Magno Luxury Design - Vista sul canale con sauna,"Cà Magno Luxury Design - Vista sul canale con sauna | 2 camere da letto
2 camere da letto
4 letti
,
 · 4 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",4890 € in totale Mostra il dettaglio dei prezzi  4890 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/38237339
Appartamento ⋅ Venezia,"Ca' Elena, splendida vista sul canale Biennale","Ca' Elena, splendida vista sul canale Biennale | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",5352 € in totale Mostra il dettaglio dei prezzi  5352 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1424444384465055462
Appartamento ⋅ Venezia,"Appartamento con terrazza BIENNALE & S. MARK, POSIZIONE TOP!","Appartamento con terrazza BIENNALE & S. MARK, POSIZIONE TOP! | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",3306 € in totale Mostra il dettaglio dei prezzi  3306 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/29640692
Appartamento ⋅ Venezia,"Nicoli, comodo appartamento nella Venezia più viva","Nicoli, comodo appartamento nella Venezia più viva | 1 camera da letto
1 camera da letto
3 letti singoli
,
 · 3 letti singoli
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3552 € in totale Mostra il dettaglio dei prezzi  3552 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/363885
Casa ⋅ Venezia,Ca' Pittore - Arsenale,"Ca' Pittore - Arsenale | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",8386 € in totale Mostra il dettaglio dei prezzi  8386 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1648456452455703092
Appartamento ⋅ Venezia,5 minutes from Biennale con corte privata,"5 minutes from Biennale con corte privata | 2 camere da letto
2 camere da letto
2 letti a 2 piazze
,
 · 2 letti a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",13.458 € in totale Mostra il dettaglio dei prezzi  13.458 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1616712093621989636
Appartamento ⋅ Venezia,Celestia Castello in vaporetto,"Celestia Castello in vaporetto | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3740 € 3403 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51279783
Appartamento ⋅ Castello,Ca' Venier Accogliente appartamento R&R,"Ca' Venier Accogliente appartamento R&R | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3359 € in totale Mostra il dettaglio dei prezzi  3359 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1637586443925629770
Appartamento ⋅ Castello,Lo stile veneziano di Daniela nel centro storico di Venezia,"Lo stile veneziano di Daniela nel centro storico di Venezia | 2 camere da letto
2 camere da letto
4 letti
,
 · 4 letti
2 bagni
,
 · 2 bagni | Host professionista
Host professionista",4158 € in totale Mostra il dettaglio dei prezzi  4158 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/875123278384610667
Casa galleggiante ⋅ Castello,AQVA Houseboat sulla Laguna di Venezia - Venezia,"AQVA Houseboat sulla Laguna di Venezia - Venezia | 3 camere da letto
3 camere da letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",14.300 € 8780 € in totale Mostra il dettaglio dei prezzi  ,No,No,https://www.airbnb.it/rooms/830353311598780523
Appartamento ⋅ Castello,Martino vista canale,"Martino vista canale | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",5350 € 4819 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1373272825190013523
Appartamento ⋅ Castello,Loft veneziano,"Loft veneziano | 2 camere da letto
2 camere da letto
3 letti
,
 · 3 letti
1,5 bagni (anche di servizio)
,
 · 1,5 bagni (anche di servizio) | Host professionista
Host professionista",10.756 € in totale Mostra il dettaglio dei prezzi  10.756 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1242528494463824221
Appartamento ⋅ Castello,Lussuoso appartamento per 3 persone in Piazza San Marco,"Lussuoso appartamento per 3 persone in Piazza San Marco | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",5310 € 4779 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/15800196
Appartamento ⋅ Castello,2 Camere nel Cuore di Castello • Biennale a piedi,"2 Camere nel Cuore di Castello • Biennale a piedi | 2 camere da letto
2 camere da letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",3874 € in totale Mostra il dettaglio dei prezzi  3874 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/50452700
Appartamento ⋅ Castello,Appartamento Casanova San Marco,"Appartamento Casanova San Marco | 2 camere da letto
2 camere da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",3292 € 3007 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1442043659384958544
Appartamento ⋅ Castello,LN Homes Venice San Marco vista canale,"LN Homes Venice San Marco vista canale | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",3125 € in totale Mostra il dettaglio dei prezzi  3125 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/16670834
Appartamento ⋅ Castello,Appartamento di lusso per 2 persone in Piazza San Marco,"Appartamento di lusso per 2 persone in Piazza San Marco | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4130 € 3717 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/15798810
Appartamento ⋅ Castello,"Venicevillas - Ca' Rosalba, zona Biennale","Venicevillas - Ca' Rosalba, zona Biennale | 2 camere da letto
2 camere da letto
4 letti
,
 · 4 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3387 € in totale Mostra il dettaglio dei prezzi  3387 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/28077021
Appartamento ⋅ Castello,Ca’ Venier – Appartamento con balcone R&r,"Ca’ Venier – Appartamento con balcone R&r | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4148 € in totale Mostra il dettaglio dei prezzi  4148 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1637586534457253152
Appartamento ⋅ Castello,Terrazza della suite Lion Palace R&r,"Terrazza della suite Lion Palace R&r | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
Bagno di servizio
,
 · Bagno di servizio | Host professionista
Host professionista",9667 € in totale Mostra il dettaglio dei prezzi  9667 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/49727247
Appartamento ⋅ Castello,Castello centro: luminoso tra Biennale e San Marco,"Castello centro: luminoso tra Biennale e San Marco | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3357 € in totale Mostra il dettaglio dei prezzi  3357 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/645423149621301474
Appartamento ⋅ Castello,Ca' Piera Rossa,"Ca' Piera Rossa | 1 camera da letto
1 camera da letto
1 letto
,
 · 1 letto
1 bagno
,
 · 1 bagno | Host privato
Host privato",4628 € in totale Mostra il dettaglio dei prezzi  4628 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1080378951629944153
Appartamento ⋅ Castello,Comodo bilocale Via Garibaldi / Biennale,"Comodo bilocale Via Garibaldi / Biennale | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",3652 € in totale Mostra il dettaglio dei prezzi  3652 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/43814550
Appartamento ⋅ Castello,"Appartamento ""Terrazza"" 2 pax, vicino a Piazza San Marco","Appartamento ""Terrazza"" 2 pax, vicino a Piazza San Marco | 1 camera da letto
1 camera da letto
1 letto matrimoniale
,
 · 1 letto matrimoniale
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",4484 € in totale Mostra il dettaglio dei prezzi  4484 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/29815301
